Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Dream Number,DrawNumber
2023-11-06,10,13,14,25,30,35,5,23001
2023-11-09,14,16,19,31,32,37,2,23002
2023-11-13,1,6,25,26,33,39,2,23003
2023-11-16,5,11,13,18,25,27,5,23004
2023-11-20,6,13,18,25,26,32,3,23005
2023-11-23,4,15,22,23,28,35,4,23006
2023-11-27,2,18,23,29,33,35,4,23007
2023-11-30,2,14,15,27,36,37,5,23008
2023-12-04,8,12,24,29,30,32,5,23009
2023-12-07,1,3,5,10,32,38,5,23010
2023-12-11,11,18,21,28,30,32,1,23011
2023-12-14,3,8,9,22,27,33,1,23012
2023-12-18,2,16,21,33,35,40,5,23013
2023-12-21,3,15,17,23,26,29,4,23014
2023-12-25,3,12,13,17,21,22,1,23015
2023-12-28,5,11,15,21,24,39,5,23016
2024-01-01,2,5,18,24,28,39,4,24001
2024-01-04,15,21,22,29,30,39,1,24002
2024-01-08,13,19,25,26,33,40,1,24003
2024-01-11,5,7,24,29,31,38,2,24004
2024-01-15,2,6,19,23,33,35,5,24005
2024-01-18,8,16,19,23,30,40,5,24006
2024-01-22,8,16,25,29,31,34,2,24007
2024-01-25,1,2,3,22,26,27,1,24008
2024-01-29,2,8,25,27,29,38,3,24009
2024-02-01,6,12,15,28,33,35,3,24010
2024-02-05,5,9,20,21,25,40,4,24011
2024-02-08,2,19,22,26,36,40,4,24012
2024-02-12,3,4,6,9,10,16,1,24013
2024-02-15,3,5,8,14,16,21,1,24014
2024-02-19,7,20,25,37,38,40,4,24015
2024-02-22,2,8,10,20,24,39,4,24016
2024-02-26,2,15,19,23,37,40,2,24017
2024-02-29,10,11,21,31,38,40,1,24018
2024-03-04,1,10,23,25,29,35,1,24019
2024-03-07,13,15,23,31,35,39,1,24020
2024-03-11,2,7,14,22,37,39,1,24021
2024-03-14,3,12,13,20,27,35,2,24022
2024-03-18,6,8,18,19,24,39,3,24023
2024-03-21,3,8,27,30,33,37,2,24024
2024-03-25,3,12,15,20,25,27,3,24025
