DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,DrawNumber
2016-09-27,6,9,13,39,41,2,12,2016078
2016-09-30,17,35,37,43,44,2,10,2016079
2016-10-04,4,7,14,34,38,4,11,2016080
2016-10-07,2,12,20,27,30,9,11,2016081
2016-10-11,5,12,20,24,37,4,11,2016082
2016-10-14,7,13,19,31,34,1,11,2016083
2016-10-18,2,17,21,25,27,6,9,2016084
2016-10-21,9,20,23,44,48,8,10,2016085
2016-10-25,3,15,20,21,28,1,5,2016086
2016-10-28,10,16,19,23,43,2,8,2016087
2016-11-01,6,10,20,29,37,1,9,2016088
2016-11-04,7,11,12,44,48,3,7,2016089
2016-11-08,5,9,47,49,50,8,9,2016090
2016-11-11,3,22,23,38,49,2,9,2016091
2016-11-15,7,15,36,42,48,3,7,2016092
2016-11-18,3,12,27,32,47,6,8,2016093
2016-11-22,5,10,33,34,47,2,10,2016094
2016-11-25,5,11,17,23,28,10,11,2016095
2016-11-29,21,26,27,28,38,9,11,2016096
2016-12-02,6,11,23,31,32,2,12,2016097
2016-12-06,1,7,11,27,45,4,9,2016098
2016-12-09,6,12,28,37,40,1,5,2016099
2016-12-13,14,28,29,48,50,2,8,2016100
2016-12-16,6,10,30,41,45,4,11,2016101
2016-12-20,13,15,17,21,27,2,3,2016102
2016-12-23,4,16,20,39,46,2,5,2016103
2016-12-27,3,22,25,32,39,7,12,2016104
2016-12-30,8,10,22,29,47,1,3,2016105
2017-01-03,19,23,27,34,49,1,11,2017001
2017-01-06,10,14,18,21,49,9,11,2017002
2017-01-10,2,11,29,35,44,4,9,2017003
2017-01-13,3,7,16,26,50,4,7,2017004
2017-01-17,4,16,25,43,47,2,10,2017005
2017-01-20,10,17,27,31,49,3,5,2017006
2017-01-24,1,5,7,17,23,3,8,2017007
2017-01-27,17,20,28,45,48,5,9,2017008
2017-01-31,3,4,17,23,44,6,9,2017009
2017-02-03,3,4,15,46,50,5,9,2017010
2017-02-07,4,10,31,38,44,8,10,2017011
2017-02-10,7,21,26,35,43,2,9,2017012
2017-02-14,2,10,24,40,44,3,10,2017013
2017-02-17,19,25,33,36,48,2,9,2017014
2017-02-21,13,19,41,45,49,3,4,2017015
2017-02-24,2,4,13,22,43,8,9,2017016
2017-02-28,10,20,31,35,42,2,12,2017017
2017-03-03,2,11,29,30,47,1,12,2017018
2017-03-07,6,37,41,48,50,4,5,2017019
2017-03-10,31,36,38,47,49,8,11,2017020
2017-03-14,3,5,21,36,44,3,6,2017021
2017-03-17,6,10,19,29,36,3,9,2017022
2017-03-21,1,20,23,44,47,4,11,2017023
2017-03-24,2,17,21,27,34,5,9,2017024
2017-03-28,9,13,31,33,46,6,10,2017025
2017-03-31,17,24,26,28,45,4,12,2017026
2017-04-04,1,9,24,33,34,2,6,2017027
2017-04-07,2,10,19,35,50,6,7,2017028
2017-04-11,5,21,22,31,49,2,8,2017029
2017-04-14,4,14,20,23,33,6,10,2017030
2017-04-18,17,22,31,38,45,5,12,2017031
2017-04-21,2,13,16,22,49,4,5,2017032
2017-04-25,9,11,19,32,43,3,9,2017033
2017-04-28,14,20,25,30,39,2,8,2017034
2017-05-02,6,19,23,25,27,11,12,2017035
2017-05-05,3,7,30,35,43,1,3,2017036
2017-05-09,8,12,16,22,26,6,7,2017037
2017-05-12,2,20,28,29,44,3,9,2017038
2017-05-16,8,11,15,20,30,3,8,2017039
2017-05-19,9,11,12,19,30,4,9,2017040
2017-05-23,8,15,25,27,42,1,4,2017041
2017-05-26,5,7,26,36,39,2,10,2017042
2017-05-30,7,12,27,38,48,6,9,2017043
2017-06-02,8,10,24,33,42,3,9,2017044
2017-06-06,20,22,25,37,40,3,7,2017045
2017-06-09,9,20,27,39,43,10,11,2017046
2017-06-13,3,12,22,27,49,4,11,2017047
2017-06-16,15,17,38,41,42,9,12,2017048
2017-06-20,11,18,26,43,44,8,10,2017049
2017-06-23,3,4,21,31,38,3,7,2017050
2017-06-27,9,17,21,28,45,1,3,2017051
2017-06-30,17,35,39,47,50,6,8,2017052
2017-07-04,10,22,25,37,49,5,8,2017053
2017-07-07,11,20,35,37,45,3,6,2017054
2017-07-11,14,22,26,42,50,8,10,2017055
2017-07-14,11,14,20,21,47,7,10,2017056
2017-07-18,1,25,27,41,45,5,7,2017057
2017-07-21,1,8,9,26,49,5,9,2017058
2017-07-25,12,14,43,44,48,2,11,2017059
2017-07-28,5,9,29,31,41,2,4,2017060
2017-08-01,14,21,24,29,30,8,10,2017061
2017-08-04,29,30,36,40,41,2,9,2017062
2017-08-08,15,25,26,40,41,4,5,2017063
2017-08-11,18,28,39,46,48,5,12,2017064
2017-08-15,10,14,30,35,46,4,10,2017065
2017-08-18,2,24,39,42,45,2,8,2017066
2017-08-22,3,10,12,17,27,3,5,2017067
2017-08-25,1,5,7,15,47,9,12,2017068
2017-08-29,4,12,15,32,38,1,5,2017069
2017-09-01,3,7,8,14,49,5,8,2017070
2017-09-05,6,9,18,28,29,1,9,2017071
2017-09-08,9,24,42,47,49,1,5,2017072
2017-09-12,10,17,27,29,35,4,11,2017073
2017-09-15,13,18,37,44,49,9,12,2017074
2017-09-19,1,8,21,30,45,2,3,2017075
2017-09-22,6,11,31,39,42,1,3,2017076
2017-09-26,1,29,40,41,48,6,12,2017077
2017-09-29,7,18,19,32,48,3,7,2017078
2017-10-03,6,24,32,48,50,1,5,2017079
2017-10-06,1,9,15,19,25,1,7,2017080
2017-10-10,4,21,34,36,37,3,6,2017081
2017-10-13,23,29,37,45,50,5,11,2017082
2017-10-17,13,17,19,26,36,2,3,2017083
2017-10-20,4,17,23,27,30,3,8,2017084
2017-10-24,9,11,13,27,33,7,10,2017085
2017-10-27,3,16,23,32,39,1,4,2017086
2017-10-31,1,12,36,43,46,3,5,2017087
2017-11-03,5,12,17,33,41,4,9,2017088
2017-11-07,7,19,20,37,41,2,12,2017089
2017-11-10,13,22,29,36,37,1,9,2017090
2017-11-14,14,16,39,40,41,8,10,2017091
2017-11-17,20,26,35,36,42,5,12,2017092
2017-11-21,2,10,14,28,31,5,7,2017093
2017-11-24,19,24,28,30,50,3,10,2017094
2017-11-28,1,6,12,18,42,2,7,2017095
2017-12-01,5,24,29,35,46,11,12,2017096
2017-12-05,11,36,43,44,48,2,7,2017097
2017-12-08,4,22,30,32,34,3,4,2017098
2017-12-12,20,37,39,44,50,4,8,2017099
2017-12-15,25,30,31,42,50,2,11,2017100
2017-12-19,8,15,30,38,46,4,7,2017101
2017-12-22,5,24,30,31,43,3,6,2017102
2017-12-26,4,17,30,43,44,2,10,2017103
2017-12-29,4,8,22,23,48,1,12,2017104
2018-01-02,10,20,21,28,48,1,8,2018001
2018-01-05,2,5,20,38,41,4,8,2018002
2018-01-09,6,12,15,38,49,2,9,2018003
2018-01-12,13,21,23,30,45,4,6,2018004
2018-01-16,20,23,31,34,46,3,12,2018005
2018-01-19,3,8,17,44,50,2,7,2018006
2018-01-23,5,8,9,23,24,7,8,2018007
2018-01-26,6,15,24,28,48,4,9,2018008
2018-01-30,11,15,21,27,35,4,5,2018009
2018-02-02,14,34,36,39,48,2,3,2018010
2018-02-06,8,17,28,34,38,6,12,2018011
2018-02-09,22,31,36,38,44,1,11,2018012
2018-02-13,10,13,17,21,44,1,10,2018013
2018-02-16,10,12,23,32,50,4,10,2018014
2018-02-20,6,14,19,25,29,5,11,2018015
2018-02-23,10,17,18,28,47,3,7,2018016
2018-02-27,3,31,41,48,50,8,11,2018017
2018-03-02,2,7,34,45,48,1,12,2018018
2018-03-06,15,20,26,31,44,2,9,2018019
2018-03-09,9,14,21,32,44,1,12,2018020
2018-03-13,9,11,13,33,49,6,12,2018021
2018-03-16,4,17,24,27,31,10,11,2018022
2018-03-20,26,29,37,39,44,9,11,2018023
2018-03-23,5,7,11,46,50,8,11,2018024
2018-03-27,17,20,23,40,46,9,10,2018025
2018-03-30,12,17,28,35,47,7,11,2018026
2018-04-03,3,8,16,40,43,5,8,2018027
2018-04-06,1,29,33,45,47,4,8,2018028
2018-04-10,14,27,39,46,48,11,12,2018029
2018-04-13,5,25,34,48,50,6,7,2018030
2018-04-17,15,27,33,39,50,4,6,2018031
2018-04-20,3,16,25,39,44,7,11,2018032
2018-04-24,20,23,28,30,44,3,7,2018033
2018-04-27,12,24,40,41,46,5,12,2018034
2018-05-01,6,15,17,42,48,4,6,2018035
2018-05-04,6,12,23,39,45,9,12,2018036
2018-05-08,17,25,35,39,44,2,5,2018037
2018-05-11,3,22,34,49,50,8,11,2018038
2018-05-15,4,16,20,31,39,2,12,2018039
2018-05-18,5,8,10,13,31,3,6,2018040
2018-05-22,1,11,37,41,48,8,12,2018041
2018-05-25,13,15,16,28,41,4,5,2018042
2018-05-29,6,11,20,38,43,2,4,2018043
2018-06-01,17,18,24,29,40,4,5,2018044
2018-06-05,9,15,22,39,46,4,5,2018045
2018-06-08,8,19,32,43,46,2,8,2018046
2018-06-12,7,21,23,36,38,6,8,2018047
2018-06-15,23,26,33,38,49,1,12,2018048
2018-06-19,7,19,26,42,50,4,9,2018049
2018-06-22,14,25,39,41,44,2,8,2018050
2018-06-26,15,16,20,34,50,4,7,2018051
2018-06-29,15,21,23,40,48,3,12,2018052
2018-07-03,1,12,15,29,48,3,5,2018053
2018-07-06,8,30,33,38,48,2,10,2018054
2018-07-10,3,8,26,33,45,7,10,2018055
2018-07-13,1,4,14,21,49,2,12,2018056
2018-07-17,4,6,27,48,50,1,11,2018057
2018-07-20,2,15,40,43,46,3,6,2018058
2018-07-24,2,4,23,39,40,3,9,2018059
2018-07-27,11,17,22,23,41,6,11,2018060
2018-07-31,20,25,34,42,45,6,11,2018061
2018-08-03,7,26,36,38,43,6,12,2018062
2018-08-07,16,28,29,30,36,8,10,2018063
2018-08-10,18,20,36,43,44,3,9,2018064
2018-08-14,1,15,18,25,31,9,11,2018065
2018-08-17,2,15,18,24,43,8,12,2018066
2018-08-21,16,23,42,43,49,10,12,2018067
2018-08-24,3,14,31,36,50,1,12,2018068
2018-08-28,4,16,32,42,46,8,12,2018069
2018-08-31,4,30,31,38,42,4,6,2018070
2018-09-04,5,14,28,30,47,4,11,2018071
2018-09-07,4,23,27,31,50,1,8,2018072
2018-09-11,9,18,32,38,46,2,3,2018073
2018-09-14,1,3,33,40,45,3,4,2018074
2018-09-18,3,8,10,32,45,4,12,2018075
2018-09-21,5,7,21,25,37,3,4,2018076
2018-09-25,6,15,20,30,38,4,7,2018077
2018-09-28,2,4,8,27,50,2,9,2018078
2018-10-02,7,17,29,37,45,3,11,2018079
2018-10-05,8,16,24,26,35,3,11,2018080
2018-10-09,3,12,36,44,45,8,11,2018081
2018-10-12,4,9,12,31,43,5,8,2018082
2018-10-16,15,28,37,40,42,1,6,2018083
2018-10-19,1,3,29,47,48,3,12,2018084
2018-10-23,1,2,5,21,32,2,12,2018085
2018-10-26,5,18,21,31,35,6,9,2018086
2018-10-30,17,23,27,43,44,1,12,2018087
2018-11-02,5,15,17,37,44,7,11,2018088
2018-11-06,14,24,36,40,43,2,9,2018089
2018-11-09,14,17,32,37,49,11,12,2018090
2018-11-13,2,7,10,13,42,3,6,2018091
2018-11-16,9,10,13,28,41,1,12,2018092
2018-11-20,6,19,39,45,48,7,12,2018093
2018-11-23,5,8,25,26,30,3,10,2018094
2018-11-27,4,16,17,18,32,2,11,2018095
2018-11-30,3,10,12,23,26,1,12,2018096
2018-12-04,19,20,21,42,45,8,9,2018097
2018-12-07,11,17,26,37,48,1,10,2018098
2018-12-11,4,7,13,23,42,1,3,2018099
2018-12-14,12,29,38,42,44,2,12,2018100
2018-12-18,1,9,18,39,48,5,7,2018101
2018-12-21,2,12,15,34,50,3,4,2018102
2018-12-25,4,5,8,31,43,2,9,2018103
2018-12-28,13,16,34,35,45,10,12,2018104
2019-01-01,1,8,11,25,28,4,6,2019001
2019-01-04,7,11,19,27,37,6,10,2019002
2019-01-08,3,19,22,31,32,2,11,2019003
2019-01-11,1,19,31,39,48,1,6,2019004
2019-01-15,22,25,29,33,35,3,6,2019005
2019-01-18,5,6,16,30,46,5,10,2019006
2019-01-22,9,23,29,41,49,8,10,2019007
2019-01-25,1,6,13,15,16,6,10,2019008
2019-01-29,14,24,26,32,39,3,8,2019009
2019-02-01,3,21,26,41,46,1,6,2019010
2019-02-05,14,25,31,37,43,2,3,2019011
2019-02-08,11,12,13,39,46,7,10,2019012
2019-02-12,6,34,36,41,50,1,5,2019013
2019-02-15,15,27,34,38,49,2,10,2019014
2019-02-19,1,8,18,19,39,7,9,2019015
2019-02-22,3,27,29,33,50,3,7,2019016
2019-02-26,3,15,29,35,47,3,4,2019017
2019-03-01,6,9,19,26,31,11,12,2019018
2019-03-05,6,10,16,39,46,8,11,2019019
2019-03-08,17,18,19,24,40,4,8,2019020
2019-03-12,5,7,13,19,31,2,9,2019021
2019-03-15,3,15,24,42,46,9,12,2019022
2019-03-19,1,6,9,34,47,7,12,2019023
2019-03-22,4,17,26,30,43,6,11,2019024
2019-03-26,12,19,23,43,47,2,6,2019025
2019-03-29,13,23,26,32,47,6,10,2019026
2019-04-02,2,9,16,26,36,6,7,2019027
2019-04-05,1,7,10,29,45,3,5,2019028
2019-04-09,18,21,29,38,41,1,11,2019029
2019-04-12,1,28,35,36,46,6,9,2019030
2019-04-16,1,8,15,44,49,2,11,2019031
